time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-18T06:18:21.750Z,38.7858315,-122.7258301,3.23,0.86,md,11,167,0.02421,0.06,nc,nc73902401,2023-06-18T06:35:18.258Z,"3km ENE of The Geysers, CA",earthquake,0.56,1.32,0.15,10,automatic,nc,nc
2023-06-18T06:14:21.200Z,33.4845,-116.464,14.37,0.55,ml,22,80,0.05029,0.14,ci,ci40488008,2023-06-18T06:17:52.175Z,"21km ESE of Anza, CA",earthquake,0.33,0.57,0.093,12,automatic,ci,ci
2023-06-18T06:06:54.625Z,61.5305,-149.955,33.6,1.6,ml,,,,0.28,ak,ak0237rlfnli,2023-06-18T06:08:26.604Z,"1 km N of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-18T05:21:56.396Z,38.2064,-115.9393,0.6,1.8,ml,16,152.04,1.043,0.2944,nn,nn00861355,2023-06-18T05:24:35.320Z,"64 km NNW of Rachel, Nevada",earthquake,,14.9,0.64,13,automatic,nn,nn
2023-06-18T04:51:16.580Z,38.7411652,-123.0078354,3.65,1.65,md,16,67,0.0286,0.07,nc,nc73902381,2023-06-18T08:01:14.764Z,"7km S of Cloverdale, CA",earthquake,0.37,0.89,0.08,14,automatic,nc,nc
2023-06-18T04:43:10.200Z,33.9055,-117.7836667,10.46,1.71,ml,65,36,0.07709,0.21,ci,ci40488000,2023-06-18T07:56:15.037Z,"3km NE of Yorba Linda, CA",earthquake,0.23,0.49,0.136,30,automatic,ci,ci
2023-06-18T04:42:28.723Z,58.1766,-155.3547,7.5,0.6,ml,,,,0.68,ak,ak0237rkgg60,2023-06-18T04:44:30.425Z,"86 km NW of Karluk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-18T04:31:18.380Z,19.2024993896484,-155.386001586914,30.0300006866455,1.79999995,md,28,180,,0.129999995,hv,hv73454347,2023-06-18T04:34:40.010Z,"Island of Hawaii, Hawaii",earthquake,0.63,1.00999999,0.889999986,3,automatic,hv,hv
2023-06-18T04:12:22.770Z,46.85216666666667,-121.73366666666666,14.32,0.46,ml,11,95,0.01654,0.34,uw,uw61933926,2023-06-18T16:25:56.580Z,"24 km ENE of Ashford, Washington",earthquake,1.72,1.01,0.15030727804823557,7,reviewed,uw,uw
2023-06-18T04:12:15.630Z,38.8116684,-122.8238297,1.97,0.75,md,6,137,0.005028,0.01,nc,nc73902371,2023-06-18T04:58:15.848Z,"7km WNW of The Geysers, CA",earthquake,0.57,1.07,0.14,7,automatic,nc,nc
2023-06-18T04:10:36.900Z,38.7876663,-122.7661667,2.31,1.1,md,20,76,0.01389,0.05,nc,nc73902366,2023-06-18T07:20:13.535Z,"1km NW of The Geysers, CA",earthquake,0.26,0.51,0.14,18,automatic,nc,nc
2023-06-18T04:03:13.414Z,61.1006,-150.3627,1.6,1.5,ml,,,,0.42,ak,ak0237rk8225,2023-06-18T04:05:00.629Z,"26 km NE of Point Possession, Alaska",earthquake,,0.4,,,automatic,ak,ak
